company,email,email_type,score,source,confidence,notes
interfolio.com,,,,,No emails found - contact form only (Washington DC address listed)
fanniemae.com,,,,,No emails found - contact form only
jahia.com,,,,,403 Forbidden - access denied
upside.com,,,,,No emails found - contact form only (support.upside.com)
freedommunitions.com,,,,,No emails found - contact form only
simplot.com,,,,,No emails found - phone only (208-336-2110)
thekrazycouponlady.com,,,,,No emails found - newsletter signup only
trailersplus.com,,,,,No emails found - phone only (412-314-1567)
iccu.com,memberservice@iccu.com,service,5,JSON-LD schema,high,Credit union member service email
clickbank.com,,,,,No emails found - support link only
localnews8.com,,,,,No emails found - news website
sunvalley.com,,,,,No emails found - phone only (800-786-8259)
marketron.com,,,,,No emails found - contact form only
liverez.com,,,,,No emails found - contact form only
hockeystack.com,sales@hockeystack.com,sales,9,JSON-LD schema,high,Sales contact - high business value
affise.com,,,,,No emails found - contact form only
21st.com,,,,,403 Forbidden - access denied
finestationery.com,,,,,No emails found - e-commerce site
quicksilver-boats.com,,,,,403 Forbidden - access denied
farxiga.com,,,,,403 Forbidden - access denied
