company,email,email_type,score,source,confidence,notes
paintyourlife.com,,,,,403 Forbidden - access denied
tryrosabella.com,,,,,No emails found - e-commerce only
askallegiance.com,,,,,No emails found - phone only (800-877-1122)
musinsa.com,,,,,Redirects to global.musinsa.com - Korean fashion site
yellowstoneclub.com,concierge@yellowstoneclub.com,service,5,footer,high,Luxury club concierge services
eventgroove.com,,,,,No emails found - ticketing platform
umontana.edu,,,,,No emails found - contact form only
greatharvest.com,,,,,No emails found - phone only (406-683-6842)
greatfallstribune.com,,,,,Unable to fetch - blocked by site
kxlh.com,DL-Corp-Digital-Support@scripps.com,support,5,data layer,high,Scripps Media digital support
kxlh.com,christy.porter@ktvh.com,hr,2,contact info,high,HR contact - low business value
kxlh.com,captioning.hotline@krtv.com,support,5,contact info,medium,Accessibility/captioning hotline
bozeman.net,,,,,Unable to verify domain safety - network restriction
clearfly.net,,,,,Unable to verify domain safety - network restriction
providenceri.gov,,,,,Unable to verify domain safety - network restriction
ric.edu,,,,,Unable to verify domain safety - network restriction
thepublicsradio.org,,,,,Unable to verify domain safety - network restriction
goprovidence.com,,,,,No emails found - contact form only
beaconmutual.com,,,,,No emails found - contact form only
hinckleyyachts.com,,,,,No emails found - phone only (401-683-7100)
oceanstatejoblot.com,,,,,No emails found - contact form only
metlifepetinsurance.com,,,,,No emails found - phone only (855-270-7387)
